Account Statement for 22698122SCHW (Designated Benefi...) since 1/1/26 through 3/29/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
1/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.01 CST,,,,"10,667.74"
1/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.01 CST,,,,"10,667.74"
1/2/26,01:16:09,DOI,="109488402563",TIDAL TR II YIELDMAX ULTRA OPT INCOME STRATEGY ETF NEW 9.73 US$,,,9.73,"10,677.47"
1/2/26,11:28:04,TRD,="1005033365855",SOLD -1 AAL 100 (Weeklys) 2 JAN 26 15.5 CALL @.25 CBOE,-0.01,-0.65,25.00,"10,701.81"
1/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.01 CST,,,,"10,701.81"
1/4/26,01:00:00,BAL,,Cash balance at the start of business day 04.01 CST,,,,"10,701.81"
1/5/26,01:00:00,BAL,,Cash balance at the start of business day 05.01 CST,,,,"10,701.81"
1/3/26,04:13:42,RAD,="109572383556",Removed due to Expiration CALL AMERICAN AIRLS GROU$15.5 EXP 01/02/26: EXP: 1.0 .AAL260102C15.5,,,,"10,701.81"
1/5/26,12:27:17,DOI,="109626555583",TIDAL ETF TR II YIELDMAXCOIN OPT INCOME STRATEGYETF 8.68 US$,,,8.68,"10,710.49"
1/5/26,16:38:54,DOI,="109658432103",TIDAL TR II YIELDMAX TSLA OPT INCOME STRATEGYETF NEW 15.36 US$,,,15.36,"10,725.85"
1/6/26,01:00:00,BAL,,Cash balance at the start of business day 06.01 CST,,,,"10,725.85"
1/6/26,09:33:05,TRD,="1005058846117",SOLD -1 TSLA 100 (Weeklys) 9 JAN 26 412.5 PUT @.84 CBOE,-0.01,-0.65,84.00,"10,809.19"
1/6/26,10:16:00,TRD,="1005058846121",SOLD -4 JBLU 100 20 FEB 26 6 CALL @.17,-0.05,-2.60,68.00,"10,874.54"
1/6/26,10:43:11,TRD,="1005058846122",SOLD -1 TGT 100 (Weeklys) 9 JAN 26 108 CALL @.31 CBOE,-0.01,-0.65,31.00,"10,904.88"
1/6/26,11:11:03,TRD,="1005055104212",SOLD -1 AAL 100 (Weeklys) 23 JAN 26 17.5 CALL @.27 CBOE,-0.01,-0.65,27.00,"10,931.22"
1/6/26,14:00:34,TRD,="1005059743830",SOLD -1 SPY 100 (Weeklys) 7 JAN 26 695 CALL @.17 CBOE,-0.01,-0.65,17.00,"10,947.56"
1/7/26,01:00:00,BAL,,Cash balance at the start of business day 07.01 CST,,,,"10,947.56"
1/8/26,01:00:00,BAL,,Cash balance at the start of business day 08.01 CST,,,,"10,947.56"
1/8/26,02:48:28,DOI,="109834445198",UWM HLDGS CORP CLASS A 13.07 US$,,,13.07,"10,960.63"
1/8/26,03:03:41,RAD,="109834446372",Removed due to Expiration CALL SPDR S&P 500 $695 EXP 01/07/26: EXP: 1.0 .SPY260107C695,,,,"10,960.63"
1/8/26,13:06:14,DOI,="109890843005",TIDAL TR II YIELDMAX ULTRA OPT INCOME STRATEGY ETF NEW 9.41 US$,,,9.41,"10,970.04"
1/8/26,14:34:14,TRD,="1005090720645",SOLD -1 DIAGONAL TGT 100 16 JAN 26/9 JAN 26 109/108 CALL @.65 CBOE,-0.02,-1.30,65.00,"11,033.72"
1/8/26,14:39:10,TRD,="1005090721182",SOLD -1 TGT 100 (Weeklys) 9 JAN 26 109 CALL @1.23 CBOE,-0.01,-0.65,123.00,"11,156.06"
1/8/26,15:20:02,TRD,="1005091312752",SOLD -1 NFLX 100 20 FEB 26 80 PUT @1.31 CBOE,-0.01,-0.65,131.00,"11,286.40"
1/8/26,15:27:02,TRD,="1005090721714",SOLD -1 SPY 100 (Weeklys) 9 JAN 26 694 CALL @.55 CBOE,-0.01,-0.65,55.00,"11,340.74"
1/9/26,01:00:00,BAL,,Cash balance at the start of business day 09.01 CST,,,,"11,340.74"
1/9/26,03:11:14,DOI,="109920584257",TIDAL TR II YIELDMAX TSLA OPT INCOME STRATEGYETF NEW 13.37 US$,,,13.37,"11,354.11"
1/9/26,10:04:39,TRD,="1005092807625",BOT +1 TSLA 100 (Weeklys) 9 JAN 26 412.5 PUT @.03,-0.01,,-3.00,"11,351.10"
1/9/26,10:07:03,TRD,="1005092807631",BOT +1 TGT 100 (Weeklys) 9 JAN 26 109 CALL @.03 CBOE,-0.01,,-3.00,"11,348.09"
1/9/26,12:20:43,DOI,="109970160213",TIDAL ETF TR II YIELDMAXCOIN OPT INCOME STRATEGYETF 8.18 US$,,,8.18,"11,356.27"
1/10/26,01:00:00,BAL,,Cash balance at the start of business day 10.01 CST,,,,"11,356.27"
1/11/26,01:00:00,BAL,,Cash balance at the start of business day 11.01 CST,,,,"11,356.27"
1/12/26,01:00:00,BAL,,Cash balance at the start of business day 12.01 CST,,,,"11,356.27"
1/10/26,03:04:55,EXP,="110007181537",SOLD -100.0 SPY UPON SPDR S&P 500 ETF,-0.02,,"69,400.00","80,756.25"
